Participant,Slope_Happy,Slope_Neutral,Slope_Sad
sub004,0.00104473379906267,0.00465515302494168,0.00150819926057011
sub006,0.00136698444839567,0.00055112421978265,-0.000546509225387126
sub007,0.000667480810079724,0.00213057571090758,-0.00189958896953613
sub008,-0.000705988728441298,0.000199911053641699,0.000425521284341812
sub009,-0.000171269566635601,0.000656060117762536,-0.00065153167815879
sub010,0.00121097813826054,-0.0076091936789453,-7.65639124438167e-05
sub011,0.00044080606312491,8.75620244187303e-05,0.00265506515279412
sub012,0.0031626895070076,0.00369331985712051,0.00073450239142403
sub014,-0.00117430195678025,-0.00062747037736699,-0.000503302842844278
sub015,-0.000396488205296919,-0.000119035525131039,0.00101050734519958
sub017,-0.00214381562545896,0.00135691161267459,0.000200340698938817
sub018,0.00265044579282403,-0.00108365144114941,0.00505993608385324
sub019,0.00121934886556119,-0.00231668329797685,-0.00133324693888426
sub020,-0.00189078669063747,0.0025580283254385,0.000951962370891124
sub021,-0.000288075854768977,-0.0045889550819993,-0.00346191390417516
sub022,-0.000243296235566959,0.000722812546882778,-0.00139238615520298
sub024,8.12888392829336e-05,-0.00157188891898841,5.65652007935569e-05
sub025,-0.00138186535332352,-7.50499966670759e-05,-0.00246171909384429
sub026,0.000247732852585614,0.000144266392453574,-0.00124784151557833
sub027,-0.000286747264908627,0.00104144448414445,-0.00264146574772894
sub031,0.000380117824533954,-0.000563349050935358,-0.000387195555958897
sub032,-0.00176284357439727,-0.00163716461975127,-0.0021894727833569
sub033,0.00199803966097534,-0.00013184301496949,-0.000209017453016713
sub034,0.000144303747219965,-0.000713876215741038,-0.00203461851924658
sub035,0.0010776735143736,-0.000892083917278796,-0.000949753739405423
sub036,0.000516136002261192,0.00173432461451739,-0.000124843310914002
sub037,0.00110388395842165,-0.000503327115438879,0.00107777852099389
sub038,0.000409504194976762,-0.00100089411716908,-0.000649078167043626
sub039,0.000638553639873862,-0.00134984636679292,0.00028806776390411
sub040,-0.000673600647132844,-0.000607257941737771,-0.00151899573393166
sub041,-0.0022096058819443,-0.000217058113776147,-0.00148329383227974
sub042,-0.00466530071571469,-0.00359537801705301,-0.00055359851103276
sub043,-0.000761465344112366,-0.00400725938379765,-0.00423451047390699
